#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	ecosystem	isolate	latitude	longitude	season	condition	description
SRR10245341	SRR10245341_1.fastq	SRR10245341_2.fastq	Hippo	Selous	Hippo	9.0000	37.5000	Rainy	Fresh	Hippopotamus amphibius
SRR10245344	SRR10245344_1.fastq	SRR10245344_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245346	SRR10245346_1.fastq	SRR10245346_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245349	SRR10245349_1.fastq	SRR10245349_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245353	SRR10245353_1.fastq	SRR10245353_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245277	SRR10245277_1.fastq	SRR10245277_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245279	SRR10245279_1.fastq	SRR10245279_2.fastq	Eland	Serengeti	Eland	2.1540	34.6857	Rainy	Fresh	Tragelaphus oryx
SRR10245281	SRR10245281_1.fastq	SRR10245281_2.fastq	Dikdik	Selous	Dikdik	9.0000	37.5000	Rainy	Fresh	Madoqua
SRR10245283	SRR10245283_1.fastq	SRR10245283_2.fastq	Buffalo	Selous	Buffalo	9.0000	37.5000	Rainy	Fresh	Syncerus caffer
SRR10245285	SRR10245285_1.fastq	SRR10245285_2.fastq	Zebra	Selous	Zebra	9.0000	37.5000	Rainy	Fresh	Equus burchellii quagga
SRR10245289	SRR10245289_1.fastq	SRR10245289_2.fastq	Impala	Selous	Impala	9.0000	37.5000	Dry	Fresh	Aepyceros melampus
SRR10245290	SRR10245290_1.fastq	SRR10245290_2.fastq	Hare	Selous	Hare	9.0000	37.5000	Dry	Fresh	Lepus
SRR10245293	SRR10245293_1.fastq	SRR10245293_2.fastq	Pig	Selous	Pig	9.0000	37.5000	Rainy	Fresh	Suidae
SRR10245296	SRR10245296_1.fastq	SRR10245296_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245297	SRR10245297_1.fastq	SRR10245297_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245299	SRR10245299_1.fastq	SRR10245299_2.fastq	Impala	Selous	Impala	9.0000	37.5000	Dry	Fresh	Aepyceros melampus
SRR10245300	SRR10245300_1.fastq	SRR10245300_2.fastq	Impala	Selous	Impala	9.0000	37.5000	Dry	Fresh	Aepyceros melampus
SRR10245302	SRR10245302_1.fastq	SRR10245302_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Rainy	Processed	Madoqua
SRR10245304	SRR10245304_1.fastq	SRR10245304_2.fastq	Impala	Ruaha	Impala	7.3860	34.9563	Dry	Fresh	Aepyceros melampus
SRR10245306	SRR10245306_1.fastq	SRR10245306_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245308	SRR10245308_1.fastq	SRR10245308_2.fastq	Zebra	Serengeti	Zebra	2.1540	34.6857	Rainy	Processed	Equus burchellii quagga
SRR10245312	SRR10245312_1.fastq	SRR10245312_2.fastq	Impala	Serengeti	Impala	2.1540	34.6857	Rainy	Processed	Aepyceros melampus
SRR10245315	SRR10245315_1.fastq	SRR10245315_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245316	SRR10245316_1.fastq	SRR10245316_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245318	SRR10245318_1.fastq	SRR10245318_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
