#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origID	Sex	Time	DayID	DPW	Description
F4D013	NA	NA	NA	F4D13_S229_L001_R1_001.fastq.gz	F4D13_S229_L001_R2_001.fastq.gz	F4D13	Female	Early	D013	13	iMAPcasestudySet
F4D015	NA	NA	NA	F4D15_S230_L001_R1_001.fastq.gz	F4D15_S230_L001_R2_001.fastq.gz	F4D15	Female	Early	D015	15	iMAPcasestudySet
F4D017	NA	NA	NA	F4D17_S231_L001_R1_001.fastq.gz	F4D17_S231_L001_R2_001.fastq.gz	F4D17	Female	Early	D017	17	iMAPcasestudySet
F4D019	NA	NA	NA	F4D19_S232_L001_R1_001.fastq.gz	F4D19_S232_L001_R2_001.fastq.gz	F4D19	Female	Early	D019	19	iMAPcasestudySet
F4D021	NA	NA	NA	F4D21_S233_L001_R1_001.fastq.gz	F4D21_S233_L001_R2_001.fastq.gz	F4D21	Female	Early	D021	21	iMAPcasestudySet
F4D025	NA	NA	NA	F4D25_S234_L001_R1_001.fastq.gz	F4D25_S234_L001_R2_001.fastq.gz	F4D25	Female	Early	D025	25	iMAPcasestudySet
F4D065	NA	NA	NA	F4D65_S235_L001_R1_001.fastq.gz	F4D65_S235_L001_R2_001.fastq.gz	F4D65	Female	Early	D065	65	iMAPcasestudySet
F4D125	NA	NA	NA	F4D125_S236_L001_R1_001.fastq.gz	F4D125_S236_L001_R2_001.fastq.gz	F4D125	Female	Late	D125	125	iMAPcasestudySet
F4D141	NA	NA	NA	F4D141_S237_L001_R1_001.fastq.gz	F4D141_S237_L001_R2_001.fastq.gz	F4D141	Female	Late	D141	141	iMAPcasestudySet
F4D142	NA	NA	NA	F4D142_S238_L001_R1_001.fastq.gz	F4D142_S238_L001_R2_001.fastq.gz	F4D142	Female	Late	D142	142	iMAPcasestudySet
F4D143	NA	NA	NA	F4D143_S239_L001_R1_001.fastq.gz	F4D143_S239_L001_R2_001.fastq.gz	F4D143	Female	Late	D143	143	iMAPcasestudySet
F4D144	NA	NA	NA	F4D144_S240_L001_R1_001.fastq.gz	F4D144_S240_L001_R2_001.fastq.gz	F4D144	Female	Late	D144	144	iMAPcasestudySet
F4D145	NA	NA	NA	F4D145_S241_L001_R1_001.fastq.gz	F4D145_S241_L001_R2_001.fastq.gz	F4D145	Female	Late	D145	145	iMAPcasestudySet
F4D146	NA	NA	NA	F4D146_S242_L001_R1_001.fastq.gz	F4D146_S242_L001_R2_001.fastq.gz	F4D146	Female	Late	D146	146	iMAPcasestudySet
F4D147	NA	NA	NA	F4D147_S243_L001_R1_001.fastq.gz	F4D147_S243_L001_R2_001.fastq.gz	F4D147	Female	Late	D147	147	iMAPcasestudySet
F4D148	NA	NA	NA	F4D148_S244_L001_R1_001.fastq.gz	F4D148_S244_L001_R2_001.fastq.gz	F4D148	Female	Late	D148	148	iMAPcasestudySet
F4D149	NA	NA	NA	F4D149_S245_L001_R1_001.fastq.gz	F4D149_S245_L001_R2_001.fastq.gz	F4D149	Female	Late	D149	149	iMAPcasestudySet
F4D150	NA	NA	NA	F4D150_S246_L001_R1_001.fastq.gz	F4D150_S246_L001_R2_001.fastq.gz	F4D150	Female	Late	D150	150	iMAPcasestudySet
F4D302	NA	NA	NA	F4D302_S247_L001_R1_001.fastq.gz	F4D302_S247_L001_R2_001.fastq.gz	F4D302	Female	Late	D302	302	iMAPcasestudySet
F5D000	NA	NA	NA	F5D0_S248_L001_R1_001.fastq.gz	F5D0_S248_L001_R2_001.fastq.gz	F5D0	Female	Early	D000	0	iMAPcasestudySet
F5D001	NA	NA	NA	F5D1_S249_L001_R1_001.fastq.gz	F5D1_S249_L001_R2_001.fastq.gz	F5D1	Female	Early	D001	1	iMAPcasestudySet
F5D002	NA	NA	NA	F5D2_S250_L001_R1_001.fastq.gz	F5D2_S250_L001_R2_001.fastq.gz	F5D2	Female	Early	D002	2	iMAPcasestudySet
F5D003	NA	NA	NA	F5D3_S251_L001_R1_001.fastq.gz	F5D3_S251_L001_R2_001.fastq.gz	F5D3	Female	Early	D003	3	iMAPcasestudySet
F5D004	NA	NA	NA	F5D4_S252_L001_R1_001.fastq.gz	F5D4_S252_L001_R2_001.fastq.gz	F5D4	Female	Early	D004	4	iMAPcasestudySet
F5D005	NA	NA	NA	F5D5_S253_L001_R1_001.fastq.gz	F5D5_S253_L001_R2_001.fastq.gz	F5D5	Female	Early	D005	5	iMAPcasestudySet
F5D006	NA	NA	NA	F5D6_S254_L001_R1_001.fastq.gz	F5D6_S254_L001_R2_001.fastq.gz	F5D6	Female	Early	D006	6	iMAPcasestudySet
F5D007	NA	NA	NA	F5D7_S255_L001_R1_001.fastq.gz	F5D7_S255_L001_R2_001.fastq.gz	F5D7	Female	Early	D007	7	iMAPcasestudySet
F5D008	NA	NA	NA	F5D8_S256_L001_R1_001.fastq.gz	F5D8_S256_L001_R2_001.fastq.gz	F5D8	Female	Early	D008	8	iMAPcasestudySet
F5D009	NA	NA	NA	F5D9_S257_L001_R1_001.fastq.gz	F5D9_S257_L001_R2_001.fastq.gz	F5D9	Female	Early	D009	9	iMAPcasestudySet
F5D011	NA	NA	NA	F5D11_S258_L001_R1_001.fastq.gz	F5D11_S258_L001_R2_001.fastq.gz	F5D11	Female	Early	D011	11	iMAPcasestudySet
